CustomerID,Tenure_months,Plan,MonthlyCharge,TotalSpend,DataUsage_GB,ServiceCalls,AutoPay,Churned
BMC00428,60,Premium,716.18,44611.65,23.9,4,No,Yes
BMC00429,15,Basic,198.76,2838.12,67.1,2,No,No
BMC00430,17,Basic,200.42,3242.12,4.4,2,Yes,Yes
BMC00431,64,Standard,386.17,24911.27,29.6,6,No,No
BMC00432,22,Standard,395.86,8484.69,39.5,3,No,No
BMC00433,1,Family,992.13,997.69,10.7,2,No,No
BMC00434,23,Premium,676.26,15223.72,5.7,0,No,Yes
BMC00435,45,Premium,680.73,30983.65,3.7,0,No,No
BMC00436,37,Standard,400.91,15098.73,32.8,0,Yes,No
BMC00437,19,Basic,195.79,3753.46,76.6,0,Yes,No
BMC00438,57,Standard,386.37,22800.97,51.7,3,Yes,No
BMC00439,29,Basic,192.53,5319.11,60.8,4,No,No
BMC00440,17,Standard,438.35,7592.07,24.2,4,No,No
BMC00441,41,Premium,685.67,27531.01,69.5,3,No,Yes
BMC00442,1,Family,990.67,983.72,21.3,0,No,Yes
BMC00443,37,Basic,191.2,7008.78,20.6,0,Yes,No
BMC00444,26,Standard,419.42,10697.69,19.4,0,Yes,No
BMC00445,29,Premium,687.55,20584.39,55.3,3,Yes,No
BMC00446,17,Basic,190.59,3373.92,42.9,0,No,No
BMC00447,48,Basic,214.64,10133.78,15.4,3,No,No
BMC00448,56,Standard,419.76,24005.45,17.4,4,Yes,No
BMC00449,21,Basic,194.09,4155.61,37.8,0,No,No
BMC00450,13,Standard,438.19,5597.06,56.1,8,Yes,Yes
BMC00451,38,Standard,434.34,17167.07,38.1,1,Yes,No
BMC00452,29,Basic,210.39,5905.48,28.9,4,Yes,Yes
BMC00453,41,Standard,417.75,16951.08,60.3,0,Yes,No
BMC00454,1,Family,1072.14,1022.64,30.9,6,No,No
BMC00455,15,Basic,200.96,3021.64,23.7,1,Yes,No
BMC00456,30,Basic,215.87,6319.44,11.2,0,Yes,No
BMC00457,37,Basic,192.25,6760.98,22.3,2,Yes,Yes
BMC00458,45,Premium,680.62,30713.31,46.5,0,No,Yes
BMC00459,14,Standard,438.1,6101.75,35.8,1,Yes,No
BMC00460,48,Standard,388.3,18966.83,9.8,3,Yes,No
BMC00461,35,Basic,211.55,7264.0,53.2,4,Yes,No
BMC00462,10,Basic,194.89,1971.95,54.7,4,Yes,Yes
BMC00463,29,Premium,673.27,19460.11,50.8,4,Yes,No
BMC00464,40,Premium,768.45,30477.67,52.6,1,No,No
BMC00465,10,Family,988.28,10068.64,31.5,0,No,Yes
BMC00466,21,Premium,693.22,14459.15,74.8,3,Yes,No
BMC00467,40,Basic,206.72,8655.91,75.7,4,Yes,No
BMC00468,28,Premium,702.84,20026.69,37.3,4,Yes,No
BMC00469,2,Basic,207.26,412.7,68.0,4,Yes,Yes
BMC00470,8,Standard,425.16,3394.63,47.5,2,Yes,No
BMC00471,2,Family,1091.81,2077.27,48.9,2,No,Yes
BMC00472,1,Basic,193.08,185.81,70.7,6,Yes,No
BMC00473,16,Basic,205.69,3207.51,29.5,0,No,Yes
BMC00474,30,Premium,714.91,20553.83,22.5,3,No,No
BMC00475,40,Basic,191.32,7540.47,30.7,1,Yes,No
BMC00476,36,Standard,417.55,14747.19,72.1,0,No,No
BMC00477,12,Basic,212.39,2592.96,71.5,4,Yes,No
BMC00478,30,Standard,386.39,11424.7,47.5,3,Yes,No
BMC00479,1,Standard,380.25,378.04,19.5,5,Yes,Yes
BMC00480,18,Family,1038.69,19489.46,79.8,2,No,No
BMC00481,31,Standard,400.99,12706.41,23.9,0,Yes,No
BMC00482,10,Standard,388.86,3998.83,32.5,1,Yes,No
BMC00483,15,Basic,202.72,3099.5,21.7,0,No,No
BMC00484,36,Premium,760.5,26832.32,67.7,6,No,No
BMC00485,29,Premium,699.88,19763.32,18.2,3,Yes,No
BMC00486,55,Basic,204.91,11742.39,61.3,0,No,Yes
BMC00487,34,Premium,740.93,24220.34,3.5,0,Yes,No
BMC00488,18,Basic,196.73,3374.59,29.6,0,No,No
BMC00489,25,Premium,759.08,19021.7,56.5,4,No,Yes
BMC00490,36,Premium,671.63,24041.91,25.6,0,Yes,No
BMC00491,78,Standard,383.32,28711.01,77.4,1,Yes,No
BMC00492,21,Premium,732.28,15436.08,35.9,3,No,No
BMC00493,42,Premium,759.99,30740.84,48.1,1,Yes,No
BMC00494,10,Basic,207.11,2086.87,10.4,0,Yes,No
BMC00495,39,Family,1051.3,42496.81,41.8,0,Yes,No
BMC00496,9,Standard,388.04,3500.3,42.9,0,No,No
BMC00497,35,Basic,202.34,6982.29,18.8,1,Yes,Yes
BMC00498,34,Standard,411.47,13670.85,37.2,0,Yes,No
BMC00499,43,Standard,390.95,17092.46,48.7,0,No,Yes
BMC00500,1,Family,1086.48,1073.59,9.1,2,Yes,No
